Affiliations,Co_Authors,Names
"[u'Linkoping University', u'Lund University']","[u'Radwa El Shawi', u'J\xf6rg-R\xfcdiger Sack', u'Giri Narasimhan', u'Joseph S. B. Mitchell', u'Tomasz Radzik', u'Ralf Klasing', u'Joachim Gudmundsson', u'Ola Petersson', u'Jyrki Katajainen', u'Per-Olof Fj\xe4llstr\xf6m', u'Otfried Cheong', u'Pawel Zylinski', u'Wojciech Rytter', u'Bengt J. Nilsson', u'Magdalene G. Borgelt', u'Mark de Berg', u'Jingsen Chen', u'Matthew J. Katz', u'Teresa M. Przytycka', u'Leszek Gasieniec', u'Rolf Klein', u'Svante Carlsson', u'Sang Won Bae', u'Mark H. Overmars', u'Anna \xd6stlin', u'Dzmitry Sledneu', u'Elmar Langetepe', u'A. Frank van der Stappen', u'Peter Floderus', u'Bengt Aspvall', u'Takeshi Tokuyama', u'Rasmus Pagh', u'Jie Min', u'Thore Husfeldt', u'Drago Krznaric', u'Magdalene Grantson', u'Cao Wang', u'Michiel H. M. Smid', u'Andrzej Lingas', u'Mattias Andersson', u'Robert Storlind', u'Christos Levcopoulos', u'Jesper Jansson', u'Christian Borgelt']",Christos Levcopoulos
"[u'Ferdowsi University of Mashhad', u'University of New Brunswick', u'The University of British Columbia', u'Ryerson University', u'Athabasca University']","[u'Feras Al-Obeidat', u'Andisheh Keikha', u'Faezeh Ensan', u'Mohsen Asadi', u'Faezeh Ramazani', u'Amal Zouaq', u'Marko Boskovic', u'Ludovic Jean-Louis', u'Hamid Sadjadi', u'Fatemeh Lashkari', u'Alireza Ensan', u'Weichang Du', u'Mohammad Hossien Yaghmaee', u'Ali A. Ghorbani', u'Mohsen Kahani', u'Zeinab Noorian', u'Mahsa Khorasani', u'Alexandre Kouznetsov', u'Bardia Mohabbati', u'Dragan Gasevic', u'Ebrahim Bagheri', u'Michel Gagnon']",Faezeh Ensan
